item,ppt,rt,nptype
11,10,1055,conjoined
11,9,2010,conjoined
11,11,461,conjoined
11,6,977,conjoined
11,7,1152,conjoined
11,2,1079,conjoined
25,10,1194,conjoined
25,9,1267,conjoined
25,11,1160,conjoined
25,7,684,conjoined
25,2,1367,conjoined
37,10,803,conjoined
37,9,1461,conjoined
37,6,835,conjoined
37,2,1024,conjoined
5,10,774,conjoined
5,9,1026,conjoined
5,11,1728,conjoined
5,6,976,conjoined
5,7,799,conjoined
5,2,1259,conjoined
10,10,528,conjoined
10,9,1611,conjoined
10,11,1045,conjoined
10,6,881,conjoined
10,7,765,conjoined
10,2,1025,conjoined
21,10,1149,conjoined
21,9,1573,conjoined
21,11,1181,conjoined
21,6,1067,conjoined
21,7,777,conjoined
21,2,982,conjoined
36,10,1306,conjoined
36,9,1344,conjoined
36,11,1550,conjoined
36,6,885,conjoined
36,7,1071,conjoined
36,2,1344,conjoined
39,10,915,conjoined
39,9,1536,conjoined
39,11,1636,conjoined
39,6,853,conjoined
39,7,793,conjoined
39,2,1100,conjoined
45,10,1150,conjoined
45,9,1084,conjoined
45,11,1161,conjoined
45,6,923,conjoined
45,7,1039,conjoined
45,2,1014,conjoined
3,10,835,conjoined
3,9,1441,conjoined
3,11,1545,conjoined
3,6,978,conjoined
3,7,880,conjoined
20,10,809,conjoined
20,9,1415,conjoined
20,6,913,conjoined
20,7,733,conjoined
20,2,1170,conjoined
47,9,1178,conjoined
47,11,1593,conjoined
47,6,1034,conjoined
47,7,1061,conjoined
47,2,999,conjoined
13,10,1092,conjoined
13,9,1329,conjoined
13,11,1530,conjoined
13,6,876,conjoined
13,7,715,conjoined
13,2,1429,conjoined
19,10,638,conjoined
19,9,1162,conjoined
19,11,1073,conjoined
19,6,1127,conjoined
19,7,896,conjoined
19,2,880,conjoined
35,10,837,conjoined
35,9,1126,conjoined
35,11,1763,conjoined
35,6,1444,conjoined
35,7,745,conjoined
35,2,955,conjoined
1,10,777,conjoined
1,9,1087,conjoined
1,11,2293,conjoined
1,6,1037,conjoined
1,7,824,conjoined
1,2,965,conjoined
9,10,856,conjoined
9,11,1434,conjoined
9,6,879,conjoined
9,7,887,conjoined
9,2,1299,conjoined
32,9,1333,conjoined
32,11,1400,conjoined
32,6,1092,conjoined
32,7,1224,conjoined
32,2,950,conjoined
16,9,1169,conjoined
16,11,1330,conjoined
16,6,1025,conjoined
16,7,1274,conjoined
16,2,1206,conjoined
22,10,843,conjoined
22,9,1396,conjoined
22,11,1442,conjoined
22,6,1052,conjoined
22,7,774,conjoined
22,2,805,conjoined
24,10,1031,conjoined
24,9,1390,conjoined
24,11,1603,conjoined
24,6,1135,conjoined
24,2,1185,conjoined
29,10,940,conjoined
29,9,1338,conjoined
29,6,826,conjoined
29,7,1527,conjoined
29,2,1067,conjoined
33,10,799,conjoined
33,9,1667,conjoined
33,11,2369,conjoined
33,6,948,conjoined
33,7,792,conjoined
33,2,1002,conjoined
42,10,1064,conjoined
42,9,1528,conjoined
42,6,882,conjoined
42,7,962,conjoined
15,10,1323,simple
15,11,1460,simple
15,6,876,simple
15,7,911,simple
15,2,1251,simple
30,9,1000,simple
30,7,913,simple
30,2,1266,simple
40,10,1055,simple
40,9,1205,simple
40,6,1314,simple
40,7,1074,simple
40,2,856,simple
14,10,947,simple
14,9,1320,simple
14,6,908,simple
14,7,995,simple
14,2,1134,simple
27,10,715,simple
27,9,1464,simple
27,11,1378,simple
27,7,799,simple
27,2,1189,simple
28,10,1056,simple
28,9,1578,simple
28,11,1692,simple
28,6,1052,simple
28,7,1102,simple
28,2,1100,simple
4,10,695,simple
4,9,1349,simple
4,11,1034,simple
4,6,945,simple
4,7,983,simple
4,2,930,simple
8,10,898,simple
8,9,1154,simple
8,11,1277,simple
8,6,944,simple
8,7,1016,simple
8,2,859,simple
44,10,828,simple
44,9,1330,simple
44,11,1442,simple
44,7,742,simple
44,2,990,simple
23,10,884,simple
23,9,1000,simple
23,11,1321,simple
23,7,701,simple
23,2,973,simple
26,10,771,simple
26,9,1341,simple
26,11,1401,simple
26,6,1108,simple
26,7,927,simple
26,2,1295,simple
38,10,1254,simple
38,9,1332,simple
38,6,904,simple
38,7,1485,simple
38,2,979,simple
2,10,1064,simple
2,9,1028,simple
2,11,1380,simple
2,6,920,simple
2,7,1116,simple
2,2,937,simple
17,10,1125,simple
17,9,1067,simple
17,6,988,simple
17,7,808,simple
17,2,967,simple
31,10,1073,simple
31,9,803,simple
31,11,2127,simple
31,6,1400,simple
31,7,941,simple
31,2,1022,simple
7,10,795,simple
7,9,1058,simple
7,11,1324,simple
7,6,1307,simple
7,2,1150,simple
18,10,543,simple
18,9,859,simple
18,11,1218,simple
18,6,963,simple
18,2,1551,simple
41,10,854,simple
41,9,1805,simple
41,6,891,simple
41,7,902,simple
41,2,975,simple
12,10,1036,simple
12,9,1661,simple
12,11,1272,simple
12,6,949,simple
12,7,846,simple
34,10,746,simple
34,9,1374,simple
34,11,1709,simple
34,6,1203,simple
34,7,732,simple
34,2,902,simple
46,10,908,simple
46,9,1207,simple
46,11,1577,simple
46,6,901,simple
46,7,997,simple
46,2,1236,simple
6,10,685,simple
6,9,1287,simple
6,11,1618,simple
6,6,969,simple
6,7,1520,simple
43,10,479,simple
43,11,2355,simple
43,6,1117,simple
43,7,771,simple
43,2,1107,simple
48,9,1225,simple
48,11,1326,simple
48,6,1062,simple
48,7,1002,simple
48,2,1210,simple
11,10,417,simple
11,9,1259,simple
11,11,1602,simple
11,6,845,simple
11,7,765,simple
11,2,1191,simple
25,10,1112,simple
25,9,943,simple
25,11,1368,simple
25,7,796,simple
25,2,1332,simple
37,10,1483,simple
37,9,1055,simple
37,6,860,simple
37,2,866,simple
5,10,929,simple
5,9,1114,simple
5,11,1503,simple
5,6,894,simple
5,7,881,simple
5,2,1283,simple
10,10,754,simple
10,9,1002,simple
10,11,1009,simple
10,6,1106,simple
10,7,986,simple
10,2,1193,simple
21,10,777,simple
21,9,1226,simple
21,11,1435,simple
21,6,844,simple
21,7,723,simple
21,2,1031,simple
36,10,1215,simple
36,9,1246,simple
36,11,2365,simple
36,6,840,simple
36,7,976,simple
36,2,1021,simple
39,10,1588,simple
39,9,1082,simple
39,11,1487,simple
39,6,963,simple
39,7,943,simple
39,2,1047,simple
45,10,1213,simple
45,9,1161,simple
45,11,1234,simple
45,6,976,simple
45,7,1101,simple
45,2,1271,simple
3,10,1005,simple
3,9,1406,simple
3,11,1261,simple
3,6,789,simple
3,7,1021,simple
20,10,902,simple
20,9,943,simple
20,6,842,simple
20,7,826,simple
20,2,948,simple
47,9,1430,simple
47,11,1167,simple
47,6,1118,simple
47,7,1007,simple
47,2,1026,simple
13,10,793,simple
13,9,955,simple
13,11,1280,simple
13,6,810,simple
13,7,789,simple
13,2,1208,simple
19,10,773,simple
19,9,1141,simple
19,11,1473,simple
19,6,955,simple
19,7,1106,simple
19,2,1515,simple
35,10,891,simple
35,9,1273,simple
35,11,1187,simple
35,6,1051,simple
35,7,618,simple
35,2,930,simple
1,10,932,simple
1,9,1088,simple
1,11,1158,simple
1,6,1452,simple
1,7,1029,simple
1,2,1088,simple
9,10,842,simple
9,11,1169,simple
9,6,928,simple
9,7,877,simple
9,2,1048,simple
32,9,1413,simple
32,11,1372,simple
32,6,897,simple
32,7,1023,simple
32,2,982,simple
16,9,1036,simple
16,11,1152,simple
16,6,909,simple
16,7,1053,simple
16,2,1193,simple
22,10,1188,simple
22,9,971,simple
22,11,1493,simple
22,6,986,simple
22,7,744,simple
22,2,1172,simple
24,10,816,simple
24,9,910,simple
24,11,1284,simple
24,6,1236,simple
24,2,1065,simple
29,10,941,simple
29,9,1228,simple
29,6,808,simple
29,7,1098,simple
29,2,1234,simple
33,10,912,simple
33,9,1064,simple
33,11,1137,simple
33,6,1428,simple
33,7,1205,simple
33,2,1213,simple
42,10,1037,simple
42,9,1332,simple
42,6,911,simple
42,7,800,simple
15,10,864,conjoined
15,11,1492,conjoined
15,6,959,conjoined
15,7,921,conjoined
15,2,921,conjoined
30,9,1255,conjoined
30,7,673,conjoined
30,2,1094,conjoined
40,10,806,conjoined
40,9,1296,conjoined
40,6,1365,conjoined
40,7,1107,conjoined
40,2,1026,conjoined
14,10,315,conjoined
14,9,1563,conjoined
14,6,960,conjoined
14,7,1112,conjoined
14,2,1177,conjoined
27,10,2058,conjoined
27,9,1043,conjoined
27,11,1131,conjoined
27,7,882,conjoined
27,2,1094,conjoined
28,10,956,conjoined
28,9,1412,conjoined
28,11,1659,conjoined
28,6,1061,conjoined
28,7,939,conjoined
28,2,1282,conjoined
4,10,833,conjoined
4,9,1246,conjoined
4,11,1196,conjoined
4,6,880,conjoined
4,7,985,conjoined
4,2,909,conjoined
8,10,884,conjoined
8,9,1032,conjoined
8,11,1192,conjoined
8,6,864,conjoined
8,7,1337,conjoined
8,2,907,conjoined
44,10,880,conjoined
44,9,1452,conjoined
44,11,976,conjoined
44,7,739,conjoined
44,2,956,conjoined
23,10,721,conjoined
23,9,1903,conjoined
23,11,1533,conjoined
23,7,738,conjoined
23,2,983,conjoined
26,10,984,conjoined
26,9,1187,conjoined
26,11,904,conjoined
26,6,1141,conjoined
26,7,844,conjoined
26,2,928,conjoined
38,10,1415,conjoined
38,9,1246,conjoined
38,6,933,conjoined
38,7,1196,conjoined
38,2,1143,conjoined
2,10,866,conjoined
2,9,1199,conjoined
2,11,1629,conjoined
2,6,838,conjoined
2,7,906,conjoined
2,2,1124,conjoined
17,10,822,conjoined
17,9,980,conjoined
17,6,1026,conjoined
17,7,755,conjoined
17,2,1230,conjoined
31,10,1412,conjoined
31,9,1050,conjoined
31,11,1477,conjoined
31,6,1362,conjoined
31,7,774,conjoined
31,2,1020,conjoined
7,10,1069,conjoined
7,9,1157,conjoined
7,11,1636,conjoined
7,6,818,conjoined
7,2,927,conjoined
18,10,845,conjoined
18,9,937,conjoined
18,11,1714,conjoined
18,6,870,conjoined
18,2,1099,conjoined
41,10,602,conjoined
41,9,1304,conjoined
41,6,885,conjoined
41,7,761,conjoined
41,2,976,conjoined
12,10,1004,conjoined
12,9,1113,conjoined
12,11,1646,conjoined
12,6,940,conjoined
12,7,975,conjoined
34,10,994,conjoined
34,9,982,conjoined
34,11,464,conjoined
34,6,1228,conjoined
34,7,833,conjoined
34,2,976,conjoined
46,10,1021,conjoined
46,9,1334,conjoined
46,11,341,conjoined
46,6,992,conjoined
46,7,912,conjoined
46,2,1010,conjoined
6,10,972,conjoined
6,9,1168,conjoined
6,11,1585,conjoined
6,6,894,conjoined
6,7,866,conjoined
43,10,876,conjoined
43,11,2394,conjoined
43,6,1170,conjoined
43,7,857,conjoined
43,2,1440,conjoined
48,9,1098,conjoined
48,11,1325,conjoined
48,6,1172,conjoined
48,7,1077,conjoined
48,2,1056,conjoined
15,8,946,conjoined
15,5,958,conjoined
15,12,1784,conjoined
15,1,991,conjoined
15,3,1327,conjoined
15,4,793,conjoined
30,8,1006,conjoined
30,5,1034,conjoined
30,12,918,conjoined
30,1,1500,conjoined
30,3,976,conjoined
30,4,1009,conjoined
40,8,903,conjoined
40,5,1189,conjoined
40,12,922,conjoined
40,3,1376,conjoined
14,8,1260,conjoined
14,5,912,conjoined
14,1,1088,conjoined
14,3,1099,conjoined
14,4,804,conjoined
27,8,764,conjoined
27,5,1322,conjoined
27,12,799,conjoined
27,1,1341,conjoined
27,4,1630,conjoined
28,8,1493,conjoined
28,5,1016,conjoined
28,12,716,conjoined
28,1,1379,conjoined
28,3,1250,conjoined
28,4,1053,conjoined
4,8,940,conjoined
4,5,1022,conjoined
4,12,919,conjoined
4,1,1070,conjoined
4,3,967,conjoined
4,4,913,conjoined
8,8,1090,conjoined
8,5,1205,conjoined
8,1,1208,conjoined
8,3,1094,conjoined
8,4,828,conjoined
44,8,976,conjoined
44,5,1058,conjoined
44,12,778,conjoined
44,1,1398,conjoined
44,3,1118,conjoined
44,4,1614,conjoined
23,8,987,conjoined
23,12,758,conjoined
23,1,1469,conjoined
23,3,996,conjoined
23,4,1039,conjoined
26,8,968,conjoined
26,5,1206,conjoined
26,12,691,conjoined
26,1,1285,conjoined
26,4,818,conjoined
38,8,865,conjoined
38,5,1071,conjoined
38,12,1186,conjoined
38,1,2007,conjoined
38,3,1446,conjoined
38,4,819,conjoined
2,8,1452,conjoined
2,5,1107,conjoined
2,12,1482,conjoined
2,1,2475,conjoined
2,3,959,conjoined
2,4,948,conjoined
17,8,848,conjoined
17,5,1255,conjoined
17,12,1125,conjoined
17,1,1292,conjoined
17,3,1150,conjoined
17,4,900,conjoined
31,8,1202,conjoined
31,5,1265,conjoined
31,12,1132,conjoined
31,1,1687,conjoined
31,3,1404,conjoined
31,4,994,conjoined
7,8,1304,conjoined
7,5,1301,conjoined
7,12,1246,conjoined
7,1,1045,conjoined
7,3,1401,conjoined
7,4,1023,conjoined
18,8,1037,conjoined
18,5,616,conjoined
18,12,798,conjoined
18,1,1255,conjoined
18,3,1244,conjoined
18,4,1040,conjoined
41,8,799,conjoined
41,5,1168,conjoined
41,12,831,conjoined
41,1,1455,conjoined
41,3,1046,conjoined
41,4,907,conjoined
12,8,999,conjoined
12,5,1012,conjoined
12,12,693,conjoined
12,1,1229,conjoined
12,3,1074,conjoined
12,4,858,conjoined
34,8,1230,conjoined
34,5,990,conjoined
34,12,861,conjoined
34,1,1351,conjoined
34,3,1310,conjoined
34,4,1304,conjoined
46,8,1323,conjoined
46,5,1001,conjoined
46,12,1193,conjoined
46,1,1199,conjoined
46,3,1138,conjoined
46,4,772,conjoined
6,8,1011,conjoined
6,5,1208,conjoined
6,12,858,conjoined
6,1,1358,conjoined
6,4,1509,conjoined
43,8,932,conjoined
43,5,1254,conjoined
43,12,1024,conjoined
43,1,2391,conjoined
43,3,1695,conjoined
43,4,1111,conjoined
48,8,1094,conjoined
48,5,1212,conjoined
48,12,1162,conjoined
48,1,1653,conjoined
48,4,1275,conjoined
11,8,1112,simple
11,5,881,simple
11,12,889,simple
11,1,1363,simple
11,3,1494,simple
11,4,1030,simple
25,8,807,simple
25,5,960,simple
25,12,733,simple
25,1,1273,simple
25,3,831,simple
25,4,770,simple
37,8,947,simple
37,5,1286,simple
37,12,748,simple
37,1,1279,simple
37,3,1093,simple
37,4,1002,simple
5,8,935,simple
5,5,1094,simple
5,3,1120,simple
5,4,975,simple
10,8,970,simple
10,5,1606,simple
10,12,1068,simple
10,1,1498,simple
10,3,940,simple
10,4,957,simple
21,8,825,simple
21,5,963,simple
21,1,1411,simple
21,4,1005,simple
36,8,854,simple
36,5,721,simple
36,12,1658,simple
36,1,1439,simple
36,3,998,simple
39,8,884,simple
39,3,942,simple
39,4,947,simple
45,8,1144,simple
45,5,891,simple
45,12,1025,simple
45,1,1499,simple
45,3,1374,simple
45,4,934,simple
3,8,989,simple
3,5,1080,simple
3,12,1568,simple
3,1,1105,simple
3,3,1293,simple
3,4,815,simple
20,8,876,simple
20,5,1088,simple
20,12,736,simple
20,3,1069,simple
20,4,930,simple
47,8,935,simple
47,5,1064,simple
47,1,1432,simple
47,3,1092,simple
47,4,931,simple
13,8,752,simple
13,5,1099,simple
13,12,673,simple
13,1,1042,simple
13,3,1109,simple
13,4,794,simple
19,8,846,simple
19,5,968,simple
19,1,1020,simple
19,3,1072,simple
19,4,2183,simple
35,8,1559,simple
35,5,1042,simple
35,12,826,simple
35,1,1831,simple
35,3,1265,simple
35,4,817,simple
1,8,855,simple
1,5,1043,simple
1,12,822,simple
1,1,1182,simple
1,3,865,simple
1,4,695,simple
9,8,746,simple
9,5,1319,simple
9,12,865,simple
9,1,1019,simple
9,3,1048,simple
32,8,780,simple
32,5,1134,simple
32,12,796,simple
32,1,1790,simple
32,4,1053,simple
16,8,824,simple
16,5,859,simple
16,12,1227,simple
16,1,1752,simple
16,3,1428,simple
16,4,2059,simple
22,8,1064,simple
22,5,931,simple
22,12,1065,simple
22,1,1297,simple
22,3,1035,simple
22,4,869,simple
24,8,849,simple
24,5,1105,simple
24,12,874,simple
24,1,1395,simple
24,3,1245,simple
24,4,697,simple
29,5,1138,simple
29,12,1020,simple
29,1,1428,simple
29,3,1105,simple
29,4,1185,simple
33,8,985,simple
33,5,930,simple
33,1,1229,simple
33,3,1323,simple
42,8,936,simple
42,5,1146,simple
42,12,1031,simple
42,1,1111,simple
15,8,809,simple
15,5,929,simple
15,12,669,simple
15,1,1200,simple
15,3,821,simple
15,4,667,simple
30,8,731,simple
30,5,898,simple
30,12,1220,simple
30,1,1830,simple
30,3,1255,simple
30,4,874,simple
40,8,1077,simple
40,5,1083,simple
40,12,751,simple
40,3,1028,simple
14,8,789,simple
14,5,886,simple
14,1,1046,simple
14,3,940,simple
14,4,891,simple
27,8,955,simple
27,5,831,simple
27,12,729,simple
27,1,1210,simple
27,4,936,simple
28,8,894,simple
28,5,1409,simple
28,12,849,simple
28,1,2048,simple
28,3,949,simple
28,4,1037,simple
4,8,684,simple
4,5,1041,simple
4,12,938,simple
4,1,1079,simple
4,3,890,simple
4,4,940,simple
8,8,877,simple
8,5,1116,simple
8,1,1294,simple
8,3,1150,simple
8,4,750,simple
44,8,1032,simple
44,5,993,simple
44,12,817,simple
44,1,1267,simple
44,3,1052,simple
44,4,1299,simple
23,8,757,simple
23,12,684,simple
23,1,877,simple
23,3,1041,simple
23,4,888,simple
26,8,910,simple
26,5,882,simple
26,12,799,simple
26,1,1229,simple
26,4,968,simple
38,8,1045,simple
38,5,1005,simple
38,12,977,simple
38,1,1415,simple
38,3,1042,simple
38,4,849,simple
2,8,945,simple
2,5,1213,simple
2,12,932,simple
2,1,1296,simple
2,3,1244,simple
2,4,1242,simple
17,8,914,simple
17,5,1224,simple
17,12,1482,simple
17,1,1253,simple
17,3,1164,simple
17,4,996,simple
31,8,886,simple
31,5,638,simple
31,12,1199,simple
31,1,1224,simple
31,3,1077,simple
31,4,941,simple
7,8,832,simple
7,5,1525,simple
7,12,1193,simple
7,1,1461,simple
7,3,967,simple
7,4,930,simple
18,8,832,simple
18,5,1113,simple
18,12,736,simple
18,1,1224,simple
18,3,1095,simple
18,4,1042,simple
41,8,1005,simple
41,5,1192,simple
41,12,829,simple
41,1,1361,simple
41,3,893,simple
41,4,1982,simple
12,8,801,simple
12,5,909,simple
12,12,633,simple
12,1,1359,simple
12,3,1172,simple
12,4,975,simple
34,8,770,simple
34,5,1194,simple
34,12,1047,simple
34,1,1811,simple
34,3,1082,simple
34,4,1096,simple
46,8,724,simple
46,5,997,simple
46,12,1011,simple
46,1,1072,simple
46,3,1054,simple
46,4,742,simple
6,8,859,simple
6,5,992,simple
6,12,835,simple
6,1,993,simple
6,4,1240,simple
43,8,821,simple
43,5,1232,simple
43,12,1029,simple
43,1,1296,simple
43,3,1120,simple
43,4,878,simple
48,8,904,simple
48,5,958,simple
48,12,783,simple
48,1,978,simple
48,4,1107,simple
11,8,1116,conjoined
11,5,1105,conjoined
11,12,1159,conjoined
11,1,1144,conjoined
11,3,1282,conjoined
11,4,1645,conjoined
25,8,802,conjoined
25,5,971,conjoined
25,12,927,conjoined
25,1,1808,conjoined
25,3,986,conjoined
25,4,1016,conjoined
37,8,908,conjoined
37,5,1156,conjoined
37,12,1101,conjoined
37,1,985,conjoined
37,3,1661,conjoined
37,4,894,conjoined
5,8,881,conjoined
5,5,530,conjoined
5,3,903,conjoined
5,4,772,conjoined
10,8,861,conjoined
10,5,1261,conjoined
10,12,814,conjoined
10,1,1132,conjoined
10,3,821,conjoined
10,4,787,conjoined
21,8,964,conjoined
21,5,1210,conjoined
21,1,1118,conjoined
21,4,1893,conjoined
36,8,863,conjoined
36,5,1140,conjoined
36,12,744,conjoined
36,1,1068,conjoined
36,3,1099,conjoined
39,8,1027,conjoined
39,3,901,conjoined
39,4,953,conjoined
45,8,1002,conjoined
45,5,894,conjoined
45,12,887,conjoined
45,1,2044,conjoined
45,3,1203,conjoined
45,4,891,conjoined
3,8,1007,conjoined
3,5,1331,conjoined
3,12,770,conjoined
3,1,2106,conjoined
3,3,1523,conjoined
3,4,939,conjoined
20,8,878,conjoined
20,5,1308,conjoined
20,12,894,conjoined
20,3,969,conjoined
20,4,1058,conjoined
47,8,936,conjoined
47,5,1443,conjoined
47,1,1100,conjoined
47,3,1315,conjoined
47,4,942,conjoined
13,8,919,conjoined
13,5,1137,conjoined
13,12,711,conjoined
13,1,759,conjoined
13,3,1163,conjoined
13,4,798,conjoined
19,8,893,conjoined
19,5,1025,conjoined
19,1,1603,conjoined
19,3,1056,conjoined
19,4,1172,conjoined
35,8,920,conjoined
35,5,1297,conjoined
35,12,734,conjoined
35,1,954,conjoined
35,3,917,conjoined
35,4,970,conjoined
1,8,864,conjoined
1,5,1049,conjoined
1,12,934,conjoined
1,1,1301,conjoined
1,3,924,conjoined
1,4,867,conjoined
9,8,1127,conjoined
9,5,995,conjoined
9,12,969,conjoined
9,1,1419,conjoined
9,3,929,conjoined
32,8,1357,conjoined
32,5,1252,conjoined
32,12,1051,conjoined
32,1,1418,conjoined
32,4,1289,conjoined
16,8,1018,conjoined
16,5,1216,conjoined
16,12,918,conjoined
16,1,1557,conjoined
16,3,1400,conjoined
16,4,1117,conjoined
22,8,1027,conjoined
22,5,1069,conjoined
22,12,912,conjoined
22,1,1347,conjoined
22,3,1070,conjoined
22,4,1068,conjoined
24,8,1010,conjoined
24,5,829,conjoined
24,12,1460,conjoined
24,1,1090,conjoined
24,3,1334,conjoined
24,4,900,conjoined
29,5,1401,conjoined
29,12,1003,conjoined
29,1,1222,conjoined
29,3,933,conjoined
29,4,1078,conjoined
33,8,1137,conjoined
33,5,978,conjoined
33,1,1208,conjoined
33,3,1203,conjoined
42,8,878,conjoined
42,5,969,conjoined
42,12,822,conjoined
42,1,1285,conjoined
